ID;LOCAL;NUMERO;BAIRRO;ANO;DATA;HORA;CIDADE;ENDEREÇO;TIPO DE ROUBO;DIA DA SEMANA;LAT_LONG;;;;;;;;;;;;;;
63;DOM JOAO BECKER;0;SAO MIGUEL;2024;07/02/2024;00:00:00;SAO LEOPOLDO;DOM JOAO BECKER, 0, SAO MIGUEL, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.761973,-51.154528;;;;;;;;;;;;;;
64;PEDRO AMERICO;0;SAO JOSE;2024;07/02/2024;11:00:00;SAO LEOPOLDO;PEDRO AMERICO, 0, SAO JOSE, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.769209,-51.132951;;;;;;;;;;;;;;
65;SALDANHA DA GAMA;322;CENTRO;2024;08/02/2024;00:30:00;SAO LEOPOLDO;SALDANHA DA GAMA, 322, CENTRO, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.762640,-51.149524;;;;;;;;;;;;;;
66;GERMANO PANITZ;203;RIO BRANCO;2024;08/02/2024;22:30:00;SAO LEOPOLDO;GERMANO PANITZ, 203, RIO BRANCO, SAO LEOPOLDO;VEICULO;quinta-feira;-29.775700,-51.125638;;;;;;;;;;;;;;
67;INDEPENDENCIA;382;CENTRO;2024;10/02/2024;05:00:00;SAO LEOPOLDO;INDEPENDENCIA, 382, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.762995,-51.146470;;;;;;;;;;;;;;
68;SAO PAULO;365;CENTRO;2024;11/02/2024;22:30:00;SAO LEOPOLDO;SAO PAULO, 365, CENTRO, SAO LEOPOLDO;PEDESTRE;domingo;-29.760768893591916, -51.14403356478056;;;;;;;;;;;;;;
69;THOMAZ EDISON;0;CAMPINA;2024;11/02/2024;15:00:00;SAO LEOPOLDO;THOMAZ EDISON, 0, CAMPINA, SAO LEOPOLDO;VEICULO;domingo;-29.754562,-51.157539;;;;;;;;;;;;;;
70;AZAMBUJA FORTUNA;476;FIAO;2024;12/02/2024;12:00:00;SAO LEOPOLDO;AZAMBUJA FORTUNA, 476, FIAO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.77364224390382, -51.15227609643902;;;;;;;;;;;;;;
71;BENTO GONCALVES;325;CENTRO;2024;12/02/2024;15:00:00;SAO LEOPOLDO;BENTO GONCALVES, 325, CENTRO, SAO LEOPOLDO;PEDESTRE;segunda-feira;-29.763120024410377, -51.14867366391282;;;;;;;;;;;;;;
72;UM;88;SANTOS DUMONT;2024;13/02/2024;02:30:00;SAO LEOPOLDO;UM, 88, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;terça-feira;-29.74377951523686, -51.136210321073186;;;;;;;;;;;;;;
73;JOAO CORREA;657;SAO JOSE;2024;14/02/2024;21:30:00;SAO LEOPOLDO;JOAO CORREA, 657, SAO JOSE, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.769418605621997, -51.14155794736311;;;;;;;;;;;;;;
74;JOSE FRANCISCO;243;DUQUE DE CAXIAS;2024;14/02/2024;06:00:00;SAO LEOPOLDO;JOSE FRANCISCO, 243, DUQUE DE CAXIAS, SAO LEOPOLDO;PEDESTRE;quarta-feira;-29.788760,-51.141327;;;;;;;;;;;;;;
75;THOMAZ EDISON;5360;SCHARLAU;2024;14/02/2024;13:30:00;SAO LEOPOLDO;THOMAZ EDISON, 5360, SCHARLAU, SAO LEOPOLDO;VEICULO;quarta-feira;-29.732382384081443, -51.15537638969375;;;;;;;;;;;;;;
76;SAO BORJA;112;RIO BRANCO;2024;15/02/2024;03:30:00;SAO LEOPOLDO;SAO BORJA, 112, RIO BRANCO, SAO LEOPOLDO;COMERCIO;quinta-feira;-29.770445,-51.134353;;;;;;;;;;;;;;
77;DO MEIO;58;SANTOS DUMONT;2024;15/02/2024;22:30:00;SAO LEOPOLDO;DO MEIO, 58, SANTOS DUMONT, SAO LEOPOLDO;PEDESTRE;quinta-feira;-29.71869083166965, -51.14776102961889;;;;;;;;;;;;;;
78;HENRIQUE BIER;24302;ARROIO DA MANTEIGA;2024;16/02/2024;10:30:00;SAO LEOPOLDO;HENRIQUE BIER, 24302, ARROIO DA MANTEIGA, SAO LEOPOLDO;PEDESTRE;sexta-feira;-29.735967005780644, -51.16918294551657;;;;;;;;;;;;;;
79;FEITORIA;145;SAO JOSE;2024;17/02/2024;20:30:00;SAO LEOPOLDO;FEITORIA, 145, SAO JOSE, SAO LEOPOLDO;COMERCIO;sábado;-29.770298,-51.133671;;;;;;;;;;;;;;
80;DA RODOVIARIA;0;CENTRO;2024;17/02/2024;21:00:00;SAO LEOPOLDO;DA RODOVIARIA, 0, CENTRO, SAO LEOPOLDO;PEDESTRE;sábado;-29.76060647495546, -51.14890916326398;;;;;;;;;;;;;;
81;OTACILIO JACINTO HOMEM;250;SCHARLAU;2024;19/02/2024;20:00:00;SAO LEOPOLDO;OTACILIO JACINTO HOMEM, 250, SCHARLAU, SAO LEOPOLDO;VEICULO;segunda-feira;-29.729425227492914, -51.16276502139672;;;;;;;;;;;;;;
